food_id,food_name_fa,final_cooked_weight_g,ingredient_name,ingredient_edible_weight_g,kcal_per_100g,protein_g_per_100g,carb_g_per_100g,fat_g_per_100g,fiber_g_per_100g,uncertainty_percent,source_reference,licence_note
cooked-rice,برنج پخته,,,,,,,,,10,,
ghormeh-sabzi,قرمه‌سبزی,,,,,,,,,20,,
gheimeh,خورش قیمه,,,,,,,,,20,,
fesenjan,فسنجان,,,,,,,,,25,,
koobideh-kebab,کباب کوبیده,,,,,,,,,20,,
joojeh-kebab,جوجه‌کباب,,,,,,,,,20,,
zereshk-polo-morgh,زرشک‌پلو با مرغ,,,,,,,,,25,,
loobia-polo,لوبیاپلو,,,,,,,,,20,,
adas-polo,عدس‌پلو,,,,,,,,,20,,
abgoosht,آبگوشت یا دیزی,,,,,,,,,25,,
tahchin-morgh,ته‌چین مرغ,,,,,,,,,25,,
iranian-macaroni,ماکارونی ایرانی,,,,,,,,,20,,
kashk-bademjan,کشک بادمجان,,,,,,,,,25,,
mirza-ghasemi,میرزا قاسمی,,,,,,,,,20,,
ash-reshteh,آش رشته,,,,,,,,,25,,
adasi,عدسی,,,,,,,,,15,,
salad-shirazi,سالاد شیرازی,,,,,,,,,15,,
plain-yogurt,ماست ساده,,,,,,,,,10,,
banana,موز,,,,,,,,,10,,
milk,شیر,,,,,,,,,10,,
